osm_id	lat	lon	strasse	PLZ_Ort	Lage
88620587	49.15784610000000043	9.20069409999999976	Scheidemannstraße 8	 74078 Heilbronn	M
88620589	49.15718400000000088	9.20001390000000008	In der Steig 20	 74078 Heilbronn	M
88620594	49.15667260000000027	9.19791320000000034	Im Fleischbeil 25	 74078 Heilbronn	M
88620598	49.15784610000000043	9.20041119999999957	Scheidemannstraße 8	 74078 Heilbronn	M
88620600	49.15769329999999826	9.20080869999999962	Akazienweg 9	 74078 Heilbronn	M
88623058	49.15693900000000127	9.19858389999999915	Brögerstraße 7	 74078 Heilbronn	M
88623060	49.15708560000000205	9.19866120000000009	Brögerstraße 7	 74078 Heilbronn	M
88623061	49.15712429999999955	9.19899449999999952	Brögerstraße 5	 74078 Heilbronn	M
88624354	49.15753839999999997	9.19807149999999929	Marienburger Straße 60	 74078 Heilbronn	G
88624356	49.15753709999999899	9.1997125000000004	In der Steig 21	 74078 Heilbronn	M
88624357	49.15736429999999757	9.19771959999999922	Brögerstraße 14	 74078 Heilbronn	M
88624364	49.15756259999999855	9.19816860000000069	Marienburger Straße 62	 74078 Heilbronn	G
88624365	49.15760509999999783	9.19746270000000088	Marienburger Straße 54	 74078 Heilbronn	G
88624369	49.15737370000000084	9.19795200000000079	Marienburger Straße 60	 74078 Heilbronn	G
88624373	49.1574781999999999	9.19974719999999913	In der Steig 17	 74078 Heilbronn	M
88624375	49.15756309999999729	9.19860450000000007	Marienburger Straße 64	 74078 Heilbronn	G
88624378	49.15714160000000277	9.19774280000000033	Brögerstraße 14	 74078 Heilbronn	M
88624380	49.15802800000000161	9.19845910000000089	Marienburger Straße 78	 74078 Heilbronn	G
88624382	49.15728190000000097	9.19747500000000073	Brögerstraße 18	 74078 Heilbronn	M
88624386	49.15760569999999774	9.19750759999999978	Marienburger Straße 54	 74078 Heilbronn	G
88624388	49.15751010000000321	9.19833590000000001	Marienburger Straße 62/1	 74078 Heilbronn	G
88626419	49.15707720000000336	9.19719219999999993	Im Fleischbeil 24	 74078 Heilbronn	M
88626420	49.15757649999999757	9.19566039999999951	Marienburger Straße 27	 74078 Heilbronn	M
88626421	49.15730539999999849	9.19647299999999923	Marienburger Straße 46	 74078 Heilbronn	G
88626422	49.15733660000000071	9.19446199999999969	Marienburger Straße 22	 74078 Heilbronn	M
88626423	49.15757769999999738	9.19404869999999974	Marienburger Straße 16	 74078 Heilbronn	M
88626424	49.15803220000000096	9.19516480000000058	Marienburger Straße 13	 74078 Heilbronn	M
88626426	49.15709259999999858	9.19734900000000088	Im Fleischbeil 24	 74078 Heilbronn	M
88626427	49.15724289999999996	9.19542210000000004	Marienburger Straße 38	 74078 Heilbronn	G
88626428	49.15721649999999698	9.19514200000000059	Marienburger Straße 36	 74078 Heilbronn	G
88626429	49.15808470000000341	9.1948016999999993	Marienburger Straße 11	 74078 Heilbronn	M
88626430	49.15827050000000042	9.19510059999999996	Marienburger Straße 13	 74078 Heilbronn	M
88626431	49.15728190000000097	9.19543269999999957	Marienburger Straße 38	 74078 Heilbronn	G
88626434	49.15748729999999966	9.19602940000000046	Marienburger Straße 29	 74078 Heilbronn	M
88626435	49.15728250000000088	9.19660960000000038	Marienburger Straße 48	 74078 Heilbronn	G
88626436	49.15717850000000055	9.1958637999999997	Marienburger Straße 42	 74078 Heilbronn	G
88626438	49.15782500000000255	9.19516680000000086	Marienburger Straße 15/2	 74078 Heilbronn	M
88626440	49.15751439999999661	9.1951312000000005	Marienburger Straße 21/1	 74078 Heilbronn	M
88626441	49.1573988999999969	9.19720449999999978	Marienburger Straße 52	 74078 Heilbronn	G
88626442	49.15729950000000059	9.1948167999999999	Marienburger Straße 34	 74078 Heilbronn	M
88626443	49.15768800000000027	9.19434140000000077	Marienburger Straße 12	 74078 Heilbronn	M
88626444	49.15771079999999671	9.19474740000000068	Marienburger Straße 17	 74078 Heilbronn	M
88626447	49.1573190000000011	9.19694140000000004	Marienburger Straße 50	 74078 Heilbronn	G
88626448	49.15693189999999646	9.19492699999999985	Im Fleischbeil 44	 74078 Heilbronn	M
88626450	49.1578518000000031	9.19483710000000087	Marienburger Straße 15	 74078 Heilbronn	M
88626453	49.15725419999999701	9.19497520000000002	Marienburger Straße 36	 74078 Heilbronn	G
88626455	49.15692219999999679	9.19503989999999938	Im Fleischbeil 44	 74078 Heilbronn	M
88626456	49.15808919999999915	9.19435099999999927	Marienburger Straße 6	 74078 Heilbronn	M
88626457	49.15767420000000243	9.1956667000000003	Tilsiter Weg 17	 74078 Heilbronn	M
88626459	49.15723530000000352	9.19633020000000023	Marienburger Straße 46	 74078 Heilbronn	G
88626460	49.1572205000000011	9.19603539999999953	Marienburger Straße 44	 74078 Heilbronn	G
88626462	49.15800370000000186	9.19424929999999918	Marienburger Straße 4/1	 74078 Heilbronn	M
88626464	49.15750270000000199	9.19529400000000052	Marienburger Straße 23/1	 74078 Heilbronn	M
88626466	49.15793419999999969	9.19626590000000022	Tilsiter Weg 10	 74078 Heilbronn	M
88626467	49.15704219999999935	9.19635940000000041	Im Fleischbeil 30	 74078 Heilbronn	M
88626468	49.15724759999999804	9.19458350000000024	Marienburger Straße 34	 74078 Heilbronn	M
88626470	49.15759010000000018	9.1947966000000001	Marienburger Straße 19	 74078 Heilbronn	M
88626472	49.15728529999999807	9.19739180000000012	Im Fleischbeil 24	 74078 Heilbronn	M
88626473	49.15779210000000177	9.19469370000000019	Marienburger Straße 17	 74078 Heilbronn	M
88626474	49.15738699999999994	9.19685349999999957	Marienburger Straße 50	 74078 Heilbronn	G
88626475	49.15715120000000127	9.19432720000000003	Marienburger Straße 30	 74078 Heilbronn	M
88626477	49.15795260000000155	9.19528829999999964	Marienburger Straße 13/1	 74078 Heilbronn	M
88626479	49.15725129999999865	9.19554280000000013	Marienburger Straße 40	 74078 Heilbronn	G
88626480	49.15692659999999847	9.19518839999999926	Im Fleischbeil 40	 74078 Heilbronn	M
88626482	49.15771260000000353	9.19602530000000051	Tilsiter Weg 15	 74078 Heilbronn	M
88626484	49.15726500000000243	9.19621949999999977	Marienburger Straße 44	 74078 Heilbronn	G
88626485	49.1576878999999991	9.19434960000000068	Marienburger Straße 12	 74078 Heilbronn	M
88626486	49.15866859999999861	9.19504270000000012	Allensteiner Weg 4	 74078 Heilbronn	M
88626487	49.15764479999999992	9.19603099999999962	Tilsiter Weg 15	 74078 Heilbronn	M
88626488	49.15792129999999815	9.19652460000000005	Tilsiter Weg 8	 74078 Heilbronn	M
88626489	49.15705069999999921	9.19657879999999928	Im Fleischbeil 28	 74078 Heilbronn	M
88626490	49.157246200000003	9.19579270000000015	Marienburger Straße 42	 74078 Heilbronn	G
88626492	49.15783449999999988	9.19499959999999916	Marienburger Straße 15/1	 74078 Heilbronn	M
88626723	49.15854519999999894	9.19676229999999961	Elbinger Straße 2	 74078 Heilbronn	M
88626725	49.15843060000000264	9.19741609999999987	Allensteiner Weg 38	 74078 Heilbronn	G
88626726	49.15806020000000132	9.19746270000000088	Marienburger Straße 73	 74078 Heilbronn	G
88626727	49.15807499999999663	9.19710689999999964	Marienburger Straße 75	 74078 Heilbronn	G
88626729	49.15886330000000015	9.19769890000000068	Elbinger Straße 8	 74078 Heilbronn	M
88626730	49.15859160000000116	9.19596660000000021	Marienburger Straße 3	 74078 Heilbronn	M
